"","Country","PowerDistance","Individualism","Masculinity","UncertaintyAvoidance","LongTermOrientation","Indulgence","Name","region"
"1","ARG",49,46,56,86,20.40302277,61.8303566,"Argentina","Americas"
"2","AUS",36,90,61,51,21.1586895,71.42857361,"Australia","Asia"
"3","AUT",11,55,79,70,60.45339966,62.7232132,"Austria","Europe"
"4","BEL",65,75,54,94,81.86398315,56.69643021,"Belgium","Europe"
"5","BGR",70,30,40,85,69.01763153,15.84821415,"Bulgaria","Europe"
"6","BRA",69,38,49,76,43.82871628,59.1517868,"Brazil","Americas"
"7","CAN",39,80,52,48,36.02014923,68.30357361,"Canada","Americas"
"8","CHE",34,68,70,58,73.55163574,66.07142639,"Switzerland","Europe"
"9","CHL",63,23,28,86,30.98236847,68,"Chile","Americas"
"10","CHN",80,20,66,30,87.40554047,23.6607151,"China","Asia"
"11","COL",67,13,64,80,13.09823704,83.0357132,"Colombia","Americas"
"12","CZE",57,58,57,74,70.02519226,29.4642849,"Czech Republic","Europe"
"13","DEU",35,67,66,65,82.87153625,40.4017868,"Germany","Europe"
"14","DNK",18,74,16,23,34.76070404,69.64286041,"Denmark","Europe"
"15","ESP",57,51,42,86,47.60705185,43.5267868,"Spain","Europe"
"16","EST",40,60,30,60,82.11586761,16.2946434,"Estonia","Europe"
"17","FIN",33,63,26,59,38.28715515,57.36606979,"Finland","Europe"
"18","FRA",68,71,43,86,63.4760704,47.7678566,"France","Europe"
"19","GBR",35,89,66,35,51.13350296,69.41963959,"United Kingdom","Europe"
"20","GRC",60,35,57,112,45.34004974,49.55356979,"Greece","Europe"
"21","HRV",73,33,40,80,58.43828583,33.25893021,"Croatia","Europe"
"22","HUN",46,80,88,82,58.18639755,31.4732151,"Hungary","Europe"
"23","IDN",78,14,46,48,61.96473694,37.7232132,"Indonesia","Asia"
"24","IND",77,48,56,40,50.88161087,26.1160717,"India","Asia"
"25","IRL",28,70,68,35,24.43324852,64.95536041,"Ireland","Europe"
"26","ITA",50,76,70,75,61.46095657,29.6875,"Italy","Europe"
"27","JPN",54,46,95,92,87.90931702,41.74106979,"Japan","Asia"
"28","LTU",42,60,19,65,81.86398315,15.625,"Lithuania","Europe"
"29","LUX",40,60,50,70,63.97985077,56.0267868,"Luxembourg","Europe"
"30","LVA",44,70,9,63,68.76573944,12.9464283,"Latvia","Europe"
"31","MAR",70,46,53,68,14.105793,25.4464283,"Morocco","MidEas/NorAf"
"32","MEX",81,30,69,82,24.18136024,97.32142639,"Mexico","Americas"
"33","MLT",56,59,47,96,47.1032753,65.625,"Malta","Europe"
"34","MYS",104,26,50,36,40.80604553,57.1428566,"Malaysia","Asia"
"35","NLD",38,80,14,53,67.0025177,68.30357361,"Netherlands","Europe"
"36","NOR",31,69,8,50,34.50881577,55.13393021,"Norway","Europe"
"37","NZL",22,79,58,49,32.74559021,74.55357361,"New Zealand","Asia"
"38","PAK",55,14,50,70,49.87405396,0,"Pakistan","Asia"
"39","PER",64,16,42,87,25.18891716,46.2053566,"Peru","Americas"
"40","PHL",94,32,64,44,27.45591927,41.9642868,"Philippines","Asia"
"41","POL",68,60,64,93,37.78337479,29.2410717,"Poland","Europe"
"42","PRT",63,27,31,104,28.211586,33.25893021,"Portugal","Europe"
"43","SGP",74,20,48,8,71.53652191,45.5357132,"Singapore","Asia"
"44","SLV",66,19,40,94,19.64735603,88.8392868,"El Salvador","Americas"
"45","SVK",104,52,110,51,76.5743103,28.3482151,"Slovak Republic","Europe"
"46","SVN",71,27,19,88,48.61460876,47.5446434,"Slovenia","Europe"
"47","SWE",31,71,5,29,52.8967247,77.67857361,"Sweden","Europe"
"48","THA",64,20,34,64,31.7380352,45.0892868,"Thailand","Asia"
"49","TTO",47,16,58,55,12.59445858,80.13392639,"Trinidad and Tobago","Americas"
"50","TUR",66,37,45,85,45.59193802,49.1071434,"Turkey","Europe"
"51","URY",61,36,38,100,26.19647408,53.3482132,"Uruguay","Americas"
"52","USA",40,91,62,46,25.69269562,68.08036041,"United States","Americas"
"53","VNM",70,20,40,30,57.17884064,35.49106979,"Vietnam","Asia"
"54","ZAF",49,65,83,49,34,63,"South Africa","SoAf"
